Dish ID,Dish Name,Category,Current Image,Current Status,Best Candidate,Score,Confidence,Historical,Conflict
6a8599cf0676fa99edaa84b5,"Champignon","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png",PLACEHOLDER,"C:\Users\boukh\OneDrive\Bureau\restaurant\bizzart-restaurant\frontend\public\images\gallery\emince-champignons.jpg",32.5,NO_MATCH,NONE,NO
6a8599cf0676fa99edaa84b8,"Oeuf","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png",PLACEHOLDER,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141440/bizzart/menu/categories/viandes.jpg",47.5,LOW_CONFIDENCE,NONE,NO
6a8599cf0676fa99edaa84bb,"Slice","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png",PLACEHOLDER,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060778/bizzart/menu/D2ACAC2E-1EDE-404C-8597-0006112AC6C2_beeo60.png",17.5,NO_MATCH,NONE,NO
6a845a7b2876405dd5375e2a,"Eau Minérale 1/2L","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060782/bizzart/menu/E82B1115-081E-4CAB-8E58-F86532F170CC_ea60pq.png",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e2d,"Eau Minérale 1L","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG_1786831394707_fictxa.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e30,"Eau Gazeuse","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_9699_g5ubkl.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e33,"Soda","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_9699_g5ubkl.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",63.5,LOW_CONFIDENCE,NONE,YES
6a845a7b2876405dd5375e36,"Pétillante","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG_1786831623991_kranmd.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e39,"Citronnade","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_9699_g5ubkl.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e3c,"Délio","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060768/bizzart/menu/r07qxo_-_R_Download_hgh4w0.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e3f,"Orangina","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060759/bizzart/menu/r07qxo_-_R_Download_4_clavnd.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
6a845a7b2876405dd5375e42,"Sprite","Soda","https://res.cloudinary.com/gmpztbom/image/upload/v1787060798/bizzart/menu/FB_IMG_1786831543045_pyswfe.jpg",CONFLICT,"https://res.cloudinary.com/gmpztbom/image/upload/v1787141472/bizzart/menu/categories/soda.jpg",33.5,NO_MATCH,NONE,YES
