Dish ID,Dish Name,Category,Current Image,Proposed Image,Score,Confidence,Reasons
6a845a7b2876405dd5375e27,"Spécial","MAkIOUB","https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG_1786831394707_fictxa.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG_1786831394707_fictxa.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a8599cf0676fa99edaa848e,"Frite","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa8491,"Gruyère","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa8494,"Emmental","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa8497,"Edam","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa849a,"Champignon","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa849d,"Thon","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa84a0,"Jambon","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa84a3,"Poulet","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
6a8599cf0676fa99edaa84a6,"Chawarma","Supplement","https://res.cloudinary.com/gmpztbom/image/upload/v1/placeholder.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",17.5,NO_MATCH,"Aucun historique"
